Common Name,Scientific Name,Status
Audubon's crested caracara,Polyborus plancus audubonii,Threatened
Aukland Island rail,Rallus pectoralis muelleri,Endangered
Aupaka,Isodendrion hosakae,Endangered
Aupaka,Isodendrion laurifolium,Endangered
Aupaka,Isodendrion longifolium,Threatened
Austin blind Salamander,Eurycea waterlooensis,Endangered
Australian native mouse,Notomys aquilo,Endangered
Australian native mouse,Zyzomys pedunculatus,Endangered
Autumn Buttercup,Ranunculus aestivalis (=acriformis),Endangered
Avahi,Avahi laniger (entire genus),Endangered
Avon Park harebells,Crotalaria avonensis,Endangered
`Awikiwiki,Canavalia molokaiensis,Endangered
`Awikiwiki,Canavalia napaliensis,Endangered
`Awikiwiki,Canavalia pubescens,Endangered
Awiwi,Schenkia sebaeoides,Endangered
'Awiwi,Kadua cookiana,Endangered
Aye-aye,Daubentonia madagascariensis,Endangered
Ayumodoki (loach),Hymenophysa curta,Endangered
Azores wood pigeon,Columba palumbus azorica,Endangered
Babirusa,Babyrousa babyrussa,Endangered
Bachman's warbler (=wood),Vermivora bachmanii,Endangered
Bactrian camel,Camelus bactrianus,Endangered
Bactrian deer,Cervus elaphus bactrianus,Endangered
Bahaman or Cuban parrot,Amazona leucocephala,Endangered
Bakersfield cactus,Opuntia treleasei,Endangered
Baker's larkspur,Delphinium bakeri,Endangered
Baker''s Loulu,Pritchardia bakeri,Endangered
Baluchistan bear,Ursus thibetanus gedrosianus,Endangered
Banbury Springs limpet,Lanx sp.,Endangered
Banded cotinga,Cotinga maculata,Endangered
Banded hare wallaby,Lagostrophus fasciatus,Endangered
Banded wattle-eye,Platysteira laticincta,Endangered
Band-rumped storm-petrel,Oceanodroma castro,Endangered
Banggai cardinalfish,Pterapogon kauderni,Threatened
Bannerman's turaco,Tauraco bannermani,Endangered
Banteng,Bos javanicus,Endangered
Barbados yellow warbler (=wood),Dendroica petechia petechia,Endangered
Barbary deer,Cervus elaphus barbarus,Endangered
Barbary hyena,Hyaena hyaena barbara,Endangered
Barbary serval,Leptailurus (=Felis) serval constantina,Endangered
Barbary stag,Cervus elaphus barbarus,Endangered
Bariaco,Trichilia triacantha,Endangered
Barneby reed-mustard,Schoenocrambe barnebyi,Endangered
Barneby ridge-cress,Lepidium barnebyanum,Endangered
Barred bandicoot,Perameles bougainville,Endangered
Barrington land iguana,Conolophus pallidus,Endangered
Bar-tailed pheasant,Syrmaticus humaie,Endangered
Barton Springs salamander,Eurycea sosorum,Endangered
Bartram's hairstreak Butterfly,Strymon acis bartrami,Endangered
Bay checkerspot butterfly,Euphydryas editha bayensis,Threatened
Bayou darter,Etheostoma rubrum,Threatened
Beach jacquemontia,Jacquemontia reclinata,Endangered
Beach layia,Layia carnosa,Endangered
bearded Seal,Erignathus barbatus nauticus,Threatened
bearded Seal,Erignathus barbatus nauticus,Threatened
Bear Valley sandwort,Arenaria ursina,Threatened
Beautiful goetzea,Goetzea elegans,Endangered
Beautiful pawpaw,Deeringothamnus pulchellus,Endangered
Beautiful shiner,Cyprinella formosa,Threatened
Beaver (Mongolian),Castor fiber birulai,Endangered
Bee Creek Cave harvestman,Texella reddelli,Endangered
Behren's silverspot butterfly,Speyeria zerene behrensii,Endangered
Beluga sturgeon,Huso huso,Threatened
beluga whale,Delphinapterus leucas,Endangered
Ben Lomond spineflower,Chorizanthe pungens var. hartwegiana,Endangered
Ben Lomond wallflower,Erysimum teretifolium,Endangered
Benton County cave crayfish,Cambarus aculabrum,Endangered
Berenghenas halomtano,Solanum guamense,Endangered
Bermuda petrel,Pterodroma cahow,Endangered
Big Bend gambusia,Gambusia gaigei,Endangered
Big-leaved crownbeard,Verbesina dissita,Threatened
Big Pine partridge pea,Chamaecrista lineata keyensis,Endangered
Big Sandy crayfish,Cambarus callainus,Threatened
Big Spring spinedace,Lepidomeda mollispinis pratensis,Threatened
Birdwing pearlymussel,Lemiox rimosus,Endangered
Black Abalone,Haliotis cracherodii,Endangered
black-breasted puffleg,Eriocnemis nigrivestis,Endangered
Blackburn's sphinx moth,Manduca blackburni,Endangered
Black caiman,Melanosuchus niger,Endangered
Black clubshell,Pleurobema curtum,Endangered
Black colobus monkey,Colobus satanas,Endangered
Black-faced impala,Aepyceros melampus petersi,Endangered
Black-footed cat,Felis nigripes,Endangered
Black-footed ferret,Mustela nigripes,Endangered
Black-fronted piping-guan,Pipile jacutinga,Endangered
Black hooded (black-headed) antwren,Formicivora erythronotos,Endangered
Black howler monkey,Alouatta pigra,Threatened
Black lace cactus,Echinocereus reichenbachii var. albertii,Endangered
Blackline Hawaiian damselfly,Megalagrion nigrohamatum nigrolineatum,Endangered
Black-necked Crane,Grus nigricollis,Endangered
Black pine snake,Pituophis melanoleucus lodingi,Threatened
Black rhinoceros,Diceros bicornis,Endangered
Blackside dace,Phoxinus cumberlandensis,Threatened
Black softshell turtle,Trionyx nigricans,Endangered
Black spored quillwort,Isoetes melanospora,Endangered
Black Stilt,Himantopus novaezelandiae,Endangered
Black warrior (=Sipsey Fork) Waterdog,Necturus alabamensis,Endangered
Bliss Rapids snail,Taylorconcha serpenticola,Threatened
Blodgett's silverbush,Argythamnia blodgettii,Threatened
Blowout penstemon,Penstemon haydenii,Endangered
Blue-billed curassow,Crax alberti,Endangered
bluemask darter,Etheostoma akatulo,Endangered
Blue Ridge goldenrod,Solidago spithamaea,Threatened
Blue shiner,Cyprinella caerulea,Threatened
Bluetail mole skink,Eumeces egregius lividus,Threatened
Blue-throated macaw,Ara glaucogularis,Endangered
Blue-throated (=ochre-marked) parakeet,Pyrrhura cruentata,Endangered
Blue whale,Balaenoptera musculus,Endangered
Blunt-nosed leopard lizard,Gambelia silus,Endangered
Blyth's tragopan pheasant,Tragopan blythii,Endangered
Bocaccio,Sebastes paucispinis,Endangered
bog turtle,Clemmys muhlenbergii,Similarity of Appearance (Threatened)
bog turtle,Clemmys muhlenbergii,Threatened
Bolson tortoise,Gopherus flavomarginatus,Endangered
Bone Cave harvestman,Texella reyesi,Endangered
Bontebok,Damaliscus pygarus (=dorcas) dorcas,Endangered
Bonytail,Gila elegans,Endangered
Borax Lake chub,Gila boraxobius,Endangered
Boulder darter,Etheostoma wapiti,Endangered
Boulder star coral,Orbicella franksi,Threatened
Bowhead whale,Balaena mysticetus,Endangered
Bradshaw's desert-parsley,Lomatium bradshawii,Endangered
Brady pincushion cactus,Pediocactus bradyi,Endangered
Braken Bat Cave Meshweaver,Cicurina venii,Endangered
Braun's rock-cress,Arabis perstellata,Endangered
Braunton's milk-vetch,Astragalus brauntonii,Endangered
Brazilian sideneck turtle,Phrynops hogei,Endangered
Brazilian three-toed sloth,Bradypus torquatus,Endangered
Brazillian merganser,Mergus octosetaceus,Endangered
Bridled white-eye,Zosterops conspicillatus conspicillatus,Endangered
Brindled nail-tailed wallaby,Onychogalea fraenata,Endangered
Britton's beargrass,Nolina brittoniana,Endangered
Broad-snouted caiman,Caiman latirostris,Threatened
Broad-snouted caiman,Caiman latirostris,Endangered
Brooksville bellflower,Campanula robinsiae,Endangered
Brother's Island tuatara,Sphenodon guntheri,Endangered
Brown-banded antpitta,Grallaria milleri,Endangered
Brown bear,Ursus arctos arctos,Endangered
Brown bear,Ursus arctos pruinosus,Endangered
Brown Caiman,Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Similarity of Appearance (Threatened)
Brown eared pheasant,Crossoptilon mantchuricum,Endangered
Brown Hyena,Parahyaena (=Hyaena) brunnea,Endangered
Bruneau Hot springsnail,Pyrgulopsis bruneauensis,Endangered
Brush-tailed rat-kangaroo,Bettongia penicillata,Endangered
Buena Vista Lake ornate Shrew,Sorex ornatus relictus,Endangered
Buff-headed marmoset,Callithrix flaviceps,Endangered
Bull Trout,Salvelinus confluentus,Threatened
Bulmer's fruit bat (=flying fox),Aproteles bulmerae,Endangered
Bumblebee bat,Craseonycteris thonglongyai,Endangered
Bunched arrowhead,Sagittaria fasciculata,Endangered
Bunched cory cactus,Coryphantha ramillosa,Threatened
Burke's goldfields,Lasthenia burkei,Endangered
Burmese peacock turtle,Morenia ocellata,Endangered
Butte County meadowfoam,Limnanthes floccosa ssp. californica,Endangered
Cabot's tragopan pheasant,Tragopan caboti,Endangered
Cabrera's hutia,Capromys angelcabrerai,Endangered
Caerulean Paradise flycatcher,Eutrichomyias rowleyi,Endangered
Cahaba shiner,Notropis cahabae,Endangered
Calamianes (=Philippine) deer,Axis porcinus calamianensis,Endangered
California clapper rail,Rallus longirostris obsoletus,Endangered
California condor,Gymnogyps californianus,Endangered
California freshwater shrimp,Syncaris pacifica,Endangered
California jewelflower,Caulanthus californicus,Endangered
California least tern,Sterna antillarum browni,Endangered
California Orcutt grass,Orcuttia californica,Endangered
California red-legged frog,Rana draytonii,Threatened
California seablite,Suaeda californica,Endangered
California taraxacum,Taraxacum californicum,Endangered
California tiger Salamander,Ambystoma californiense,Threatened
California tiger Salamander,Ambystoma californiense,Endangered
California tiger Salamander,Ambystoma californiense,Endangered
Calistoga allocarya,Plagiobothrys strictus,Endangered
Callippe silverspot butterfly,Speyeria callippe callippe,Endangered
Cameroon clawless otter,Aonyx congicus (=congica) microdon,Endangered
Cameroon toad,Bufo superciliaris,Endangered
Campbell Island flightless teal,Anas aucklandica nesiotis,Endangered
Canada Lynx,Lynx canadensis,Threatened
Canarian black oystercatcher,Haematopus meadewaldoi,Endangered
canary rockfish,Sebastes pinniger,Threatened
Canby's dropwort,Oxypolis canbyi,Endangered
Candy darter,Etheostoma osburni,Endangered
Canelo Hills ladies-tresses,Spiranthes delitescens,Endangered
Cantabrian capercaillie,Tetrao urogallus cantabricus,Endangered
Capa rosa,Callicarpa ampla,Endangered
Cape Fear shiner,Notropis mekistocholas,Endangered
Cape Mountain zebra,Equus zebra ssp. zebra,Endangered
Cape Sable seaside sparrow,Ammodramus maritimus mirabilis,Endangered
Cape Sable Thoroughwort,Chromolaena frustrata,Endangered
Capped Langur,Trachypithecus (=Presbytis) pileatus,Endangered
Carolina heelsplitter,Lasmigona decorata,Endangered
Carolina northern flying squirrel,Glaucomys sabrinus coloratus,Endangered
Carson wandering skipper,Pseudocopaeodes eunus obscurus,Endangered
Carter's mustard,Warea carteri,Endangered
Carter's panicgrass,Panicum fauriei var. carteri,Endangered
Carter's small-flowered flax,Linum carteri carteri,Endangered
Casey's June Beetle,Dinacoma caseyi,Endangered
Cassius Blue Butterfly,Leptotes cassius theonus,Similarity of Appearance (Threatened)
Catalina Island mountain-mahogany,Cercocarpus traskiae,Endangered
Catfish,Pangasius sanitwongsei,Endangered
Cat Island turtle,Trachemys terrapen,Endangered
Cauca guan,Penelope perspicax,Endangered
Cayman Brac ground iguana,Cyclura nubila caymanensis,Threatened
Cebello halumtano,Bulbophyllum guamense,Threatened
Cebu black shama (thrush),Copsychus niger cebuensis,Endangered
Cedros Island mule Deer,Odocoileus hemionus cerrosensis,Endangered
Central American river turtle,Dermatemys mawii,Endangered
Central American tapir,Tapirus bairdii,Endangered
