Common Name,Scientific Name,Status
Ko`oko`olau,Bidens wiebkei,Endangered
Ko`oloa`ula,Abutilon menziesii,Endangered
kopa,Kadua cordata remyi,Endangered
Kopiko,Psychotria grandiflora,Endangered
Kopiko,Psychotria hexandra ssp. oahuensis,Endangered
Kopiko,Psychotria hobdyi,Endangered
Koster's springsnail,Juturnia kosteri,Endangered
Kouprey,Bos sauveli,Endangered
Kral's water-plantain,Sagittaria secundifolia,Threatened
Kretschmarr Cave mold beetle,Texamaurops reddelli,Endangered
Kuahiwi laukahi,Plantago hawaiensis,Endangered
Kuahiwi laukahi,Plantago princeps,Endangered
Kuawawaenohu,Schiedea lychnoides,Endangered
Kuenzler hedgehog cactus,Echinocereus fendleri var. kuenzleri,Threatened
Kuhl's (=Bawean) deer,Axis porcinus kuhli,Endangered
Kula wahine noho,Isodendrion pyrifolium,Endangered
Kulu`i,Nototrichium humile,Endangered
Kupukupu makalii,Cyclosorus boydiae,Endangered
Lacy elimia (snail),Elimia crenatella,Threatened
La Graciosa thistle,Cirsium loncholepis,Endangered
Laguna Beach liveforever,Dudleya stolonifera,Threatened
Laguna Mountains skipper,Pyrgus ruralis lagunae,Endangered
Lahontan cutthroat trout,Oncorhynchus clarkii henshawi,Threatened
Lake County stonecrop,Parvisedum leiocarpum,Endangered
Lakela's mint,Dicerandra immaculata,Endangered
Lakeside daisy,Hymenoxys herbacea,Threatened
Lanai sandalwood (=`iliahi),Santalum haleakalae var. lanaiense,Endangered
Lanai tree snail,Partulina semicarinata,Endangered
Lanai tree snail,Partulina variabilis,Endangered
Lane Mountain milk-vetch,Astragalus jaegerianus,Endangered
Lange's metalmark butterfly,Apodemia mormo langei,Endangered
Langford's tree snail,Partula langfordi,Endangered
Large desert marsupial-mouse,Sminthopsis psammophila,Endangered
Large-eared hutia,Capromys auritus,Endangered
Large-flowered fiddleneck,Amsinckia grandiflora,Endangered
Large-flowered skullcap,Scutellaria montana,Threatened
Large-flowered woolly meadowfoam,Limnanthes pumila ssp. grandiflora,Endangered
Large-fruited sand-verbena,Abronia macrocarpa,Endangered
Large Kauai (=kamao) Thrush,Myadestes myadestinus,Endangered
Largetooth Sawfish,Pristis pristis,Endangered
Lar Valley viper,Vipera latifii,Endangered
Last Chance townsendia,Townsendia aprica,Threatened
Lau `ehu,Panicum niihauense,Endangered
Laulihilihi,Schiedea stellarioides,Endangered
Laurel dace,Chrosomus saylori,Endangered
Layne's butterweed,Senecio layneae,Threatened
Laysan duck,Anas laysanensis,Endangered
Laysan finch (honeycreeper),Telespyza cantans,Endangered
Leadbeater's Possum,Gymnobelideus leadbeateri,Endangered
Leafy prairie-clover,Dalea foliosa,Endangered
Least Bell's vireo,Vireo bellii pusillus,Endangered
Least tern,Sterna antillarum,Endangered
Leatherback sea turtle,Dermochelys coriacea,Endangered
Lee County cave isopod,Lirceus usdagalun,Endangered
Leedy's roseroot,Rhodiola integrifolia ssp. leedyi,Threatened
Lee pincushion cactus,Coryphantha sneedii var. leei,Threatened
lehua makanoe,Lysimachia daphnoides,Endangered
Lemurs,"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia)",Endangered
Leon Springs pupfish,Cyprinodon bovinus,Endangered
Leopard,Panthera pardus,Endangered
Leopard,Panthera pardus,Threatened
Leopard cat,Prionailurus (=Felis) bengalensis bengalensis,Endangered
Leopard darter,Percina pantherina,Threatened
Lesser rabbit bandicoot,Macrotis leucura,Endangered
Lesser rhea (incl. Darwin's),Rhea (=Pterocnemia) pennata,Endangered
Lesser slow loris,Nycticebus pygmaeus,Threatened
Lesueur's rat-kangaroo,Bettongia lesueur,Endangered
Lewton's polygala,Polygala lewtonii,Endangered
L'hoest's monkey,Cercopithecus lhoesti,Endangered
Light-footed clapper rail,Rallus longirostris levipes,Endangered
Liliwai,Acaena exigua,Endangered
Lion,Panthera leo ssp. leo,Endangered
Lion,Panthera leo ssp. melanochaita,Threatened
Lion-tailed macaque,Macaca silenus,Endangered
Little Aguja (=Creek) Pondweed,Potamogeton clystocarpus,Endangered
Little amphianthus,Amphianthus pusillus,Threatened
Little blue macaw,Cyanopsitta spixii,Endangered
Little Colorado spinedace,Lepidomeda vittata,Threatened
Little earth hutia,Capromys sanfelipensis,Endangered
Little Kern golden trout,Oncorhynchus aguabonita whitei,Threatened
Little Mariana fruit Bat,Pteropus tokudae,Endangered
Little planigale,Planigale ingrami subtilissima,Endangered
Littlewing pearlymussel,Pegias fabula,Endangered
Llanero Coqui,Eleutherodactylus juanariveroi,Endangered
Lloyd's Mariposa cactus,Echinomastus mariposensis,Threatened
Loach minnow,Tiaroga cobitis,Endangered
Lobed Star Coral,Orbicella annularis,Threatened
Loch Lomond coyote thistle,Eryngium constancei,Endangered
Loggerhead sea turtle,Caretta caretta,Threatened
Loggerhead sea turtle,Caretta caretta,Endangered
Loggerhead sea turtle,Caretta caretta,Endangered
Loggerhead sea turtle,Caretta caretta,Endangered
Loggerhead sea turtle,Caretta caretta,Threatened
Loggerhead sea turtle,Caretta caretta,Endangered
Loggerhead sea turtle,Caretta caretta,Endangered
Loggerhead sea turtle,Caretta caretta,Threatened
Loggerhead sea turtle,Caretta caretta,Threatened
Lompoc yerba santa,Eriodictyon capitatum,Endangered
Longhorn fairy shrimp,Branchinecta longiantenna,Endangered
Long-legged warbler,Trichocichla rufa,Endangered
Longspurred mint,Dicerandra cornutissima,Endangered
Long-tailed ground roller,Uratelornis chimaera,Endangered
Long-tailed langur,Presbytis potenziani,Threatened
Long-tailed marsupial-mouse,Sminthopsis longicaudata,Endangered
Long-tailed otter,Lontra (=Lutra) longicaudis (incl. platensis),Endangered
Lord Howe wood rail,Gallirallus (=Tricholimnas) sylvestris,Endangered
Lost River sucker,Deltistes luxatus,Endangered
Lotis blue butterfly,Lycaeides argyrognomon lotis,Endangered
Louisiana pearlshell,Margaritifera hembeli,Threatened
Louisiana pinesnake,Pituophis ruthveni,Threatened
Louisiana quillwort,Isoetes louisianensis,Endangered
Lo`ulu,Pritchardia hardyi,Endangered
Lo`ulu,Pritchardia kaalae,Endangered
Lo`ulu,Pritchardia lanigera,Endangered
Lo`ulu,Pritchardia maideniana,Endangered
Lo`ulu,Pritchardia munroi,Endangered
Lo`ulu,Pritchardia napaliensis,Endangered
Lo`ulu,Pritchardia remota,Endangered
Lo`ulu,Pritchardia schattaueri,Endangered
Lo`ulu,Pritchardia viscosa,Endangered
Lower Keys marsh rabbit,Sylvilagus palustris hefneri,Endangered
Lowland anoa,Bubalus depressicornis,Endangered
Luzon peacock swallowtail butterfly,Papilio chikae,Endangered
Lyon's pentachaeta,Pentachaeta lyonii,Endangered
Lyrate bladderpod,Lesquerella lyrata,Threatened
MacFarlane's four-o'clock,Mirabilis macfarlanei,Threatened
Madagascar pochard,Aythya innotata,Endangered
Madagascar radiated tortoise,Geochelone radiata,Endangered
Madagascar red owl,Tyto soumagnei,Endangered
Madagascar sea eagle,Haliaeetus vociferoides,Endangered
Madagascar serpent eagle,Eutriorchis astur,Endangered
Madison Cave isopod,Antrolana lira,Threatened
Madla Cave Meshweaver,Cicurina madla,Endangered
Magenta petrel,Pterodroma magentae,Endangered
Maguire primrose,Primula maguirei,Threatened
Mahoe,Alectryon macrococcus,Endangered
Makou,Peucedanum sandwicense,Threatened
Makou,Ranunculus hawaiensis,Endangered
Makou,Ranunculus mauiensis,Endangered
Malabar large-spotted civet,Viverra civettina (=megaspila c.),Endangered
Maleo megapode,Macrocephalon maleo,Endangered
Malheur wire-lettuce,Stephanomeria malheurensis,Endangered
Mancos milk-vetch,Astragalus humillimus,Endangered
Mandrill,Mandrillus (=Papio) sphinx,Endangered
Maned wolf,Chrysocyon brachyurus,Endangered
Mann's bluegrass,Poa mannii,Endangered
Mantled howler monkey,Alouatta palliata,Endangered
Manus Island tree snail,Papustyla pulcherrima,Endangered
Many-flowered navarretia,Navarretia leucocephala ssp. plieantha,Endangered
Ma`oli`oli,Schiedea apokremnos,Endangered
Ma`oli`oli,Schiedea hawaiiensis,Endangered
Ma`oli`oli,Schiedea kealiae,Endangered
Ma`oli`oli,Schiedea pubescens,Endangered
Mao (= maomao) (honeyeater),Gymnomyza samoensis,Endangered
Mapele,Cyrtandra cyaneoides,Endangered
Marbled cat,Pardofelis (=Felis) marmorata,Endangered
Marbled murrelet,Brachyramphus marmoratus,Threatened
Marcescent dudleya,Dudleya cymosa ssp. marcescens,Threatened
Margaretta's hermit,Phaethornis malaris margarettae,Endangered
Margay,Leopardus (=Felis) wiedii,Endangered
Maria Island ground lizard,Cnemidophorus vanzoi,Endangered
Maria Island snake,Liophus ornatus,Endangered
Mariana (=aga) Crow,Corvus kubaryi,Endangered
Mariana common moorhen,Gallinula chloropus guami,Endangered
Mariana eight-spot butterfly,Hypolimnas octocula marianensis,Endangered
Mariana fruit Bat (=Mariana flying fox),Pteropus mariannus mariannus,Threatened
Mariana gray swiftlet,Aerodramus vanikorensis bartschi,Endangered
Mariana wandering butterfly,Vagrans egistina,Endangered
Marin dwarf-flax,Hesperolinon congestum,Threatened
Marine otter,Lontra (=Lutra) felina,Endangered
Mariposa pussypaws,Calyptridium pulchellum,Threatened
Marquesas pigeon,Ducula galeata,Endangered
Marsh deer,Blastocerus dichotomus,Endangered
Marsh Sandwort,Arenaria paludicola,Endangered
Martinique trembler (thrasher),Cinclocerthia ruficauda gutturalis,Endangered
Marungu sunbird,Nectarinia prigoginei,Endangered
Maryland darter,Etheostoma sellare,Endangered
Mascarene black petrel,Pterodroma aterrima,Endangered
Masked bobwhite (quail),Colinus virginianus ridgwayi,Endangered
Mat-forming quillwort,Isoetes tegetiformans,Endangered
Maui akepa,Loxops ochraceus,Endangered
Maui dolphin,Cephalorhynchus hectori maui,Endangered
Maui nukupuu,Hemignathus affinis,Endangered
Maui parrotbill (Kiwikiu),Pseudonestor xanthophrys,Endangered
Maui reedgrass,Calamagrostis expansa,Endangered
Maui remya,Remya mauiensis,Endangered
Mauna Loa (=Ka'u) silversword,Argyroxiphium kauense,Endangered
Mauritius cuckoo-shrike,Coquus typicus,Endangered
Mauritius fody,Foudia rubra,Endangered
Mauritius kestrel,Falco punctatus,Endangered
Mauritius olivaceous Bulbul,Hypsipetes borbonicus olivaceus,Endangered
Mauritius parakeet,Psittacula echo,Endangered
Mayaguana iguana,Cyclura carinata bartschi,Threatened
McDonald's rock-cress,Arabis macdonaldiana,Endangered
McNeill's deer,Cervus elaphus macneilii,Endangered
Mead's milkweed,Asclepias meadii,Threatened
Mediterranean monk seal,Monachus monachus,Endangered
Mehamehame,Flueggea neowawraea,Endangered
Menzies' wallflower,Erysimum menziesii,Endangered
Merriam's Montezuma quail,Cyrtonyx montezumae merriami,Endangered
Mesa Verde cactus,Sclerocactus mesae-verdae,Threatened
Metcalf Canyon jewelflower,Streptanthus albidus ssp. albidus,Endangered
Mexican blindcat (catfish),Prietella phreatophila,Endangered
Mexican bobcat,Lynx (=Felis) rufus escuinapae,Endangered
Mexican flannelbush,Fremontodendron mexicanum,Endangered
Mexican grizzly bear,Ursus arctos,Endangered
Mexican long-nosed bat,Leptonycteris nivalis,Endangered
Mexican prairie dog,Cynomys mexicanus,Endangered
Mexican spotted owl,Strix occidentalis lucida,Threatened
Mexican wolf,Canis lupus baileyi,Endangered
Mhorr gazelle,Gazella dama mhorr,Endangered
Miami Blue Butterfly,Cyclargus (=Hemiargus) thomasi bethunebakeri,Endangered
Miami tiger beetle,Cicindelidia floridana,Endangered
Miccosukee gooseberry,Ribes echinellum,Threatened
Michaux's sumac,Rhus michauxii,Endangered
Michigan monkey-flower,Mimulus michiganensis,Endangered
Micronesian megapode,Megapodius laperouse,Endangered
Mikado pheasant,Syrmaticus mikado,Endangered
Military macaw,Ara militaris,Endangered
Mindoro imperial (=zone-tailed) pigeon,Ducula mindorensis,Endangered
Minnesota dwarf trout lily,Erythronium propullans,Endangered
Mission blue butterfly,Icaricia icarioides missionensis,Endangered
Mississippi sandhill crane,Grus canadensis pulla,Endangered
Missouri bladderpod,Physaria filiformis,Threatened
Mitchell's satyr Butterfly,Neonympha mitchellii mitchellii,Endangered
Miyako tango (=Toyko bitterling),Tanakia tanago,Endangered
Moapa dace,Moapa coriacea,Endangered
Mohave tui chub,Gila bicolor ssp. mohavensis,Endangered
Mohr's Barbara's buttons,Marshallia mohrii,Threatened
Molokai creeper,Paroreomyza flammea,Endangered
Molokai thrush,Myadestes lanaiensis rutha,Endangered
Mona boa,Epicrates monensis monensis,Threatened
Mona ground Iguana,Cyclura stejnegeri,Threatened
Mongolian saiga (antelope),Saiga tatarica mongolica,Endangered
Monterey clover,Trifolium trichocalyx,Endangered
Monterey gilia,Gilia tenuiflora ssp. arenaria,Endangered
Monterey spineflower,Chorizanthe pungens var. pungens,Threatened
Monte Verde golden toad,Bufo periglenes,Endangered
Morden's owlet,Otus ireneae,Endangered
Morefield''s leather flower,Clematis morefieldii,Endangered
Moroccan gazelle,Gazella dorcas massaesyla,Endangered
Morro Bay kangaroo rat,Dipodomys heermanni morroensis,Endangered
Morro manzanita,Arctostaphylos morroensis,Threatened
Morro shoulderband (=Banded dune) snail,Helminthoglypta walkeriana,Endangered
Mountain anoa,Bubalus quarlesi,Endangered
Mountain (=Cuvier's) gazelle,Gazella cuvieri,Endangered
Mountain golden heather,Hudsonia montana,Threatened
Mountainous Star Coral,Orbicella faveolata,Threatened
Mountain pygmy possum,Burramys parvus,Endangered
Mountain sweet pitcher-plant,Sarracenia rubra ssp. jonesii,Endangered
Mountain tapir,Tapirus pinchaque,Endangered
Mountain yellow-legged frog,Rana muscosa,Endangered
Mountain yellow-legged frog,Rana muscosa,Endangered
Mountain zebra,Equus zebra zebra,Endangered
Mount Charleston blue butterfly,Icaricia (Plebejus) shasta charlestonensis,Endangered
Mount Graham red squirrel,Tamiasciurus hudsonicus grahamensis,Endangered
Mount Hermon June beetle,Polyphylla barbata,Endangered
Mugger crocodile,Crocodylus palustris palustris,Endangered
Munz's onion,Allium munzii,Endangered
Musk deer,Moschus spp. (all species),Endangered
Myrtle's silverspot butterfly,Speyeria zerene myrtleae,Endangered
Naenae,Dubautia kalalauensis,Endangered
Naenae,Dubautia kenwoodii,Endangered
Na`ena`e,Dubautia herbstobatae,Endangered
Na`ena`e,Dubautia imbricata ssp. imbricata,Endangered
Na`ena`e,Dubautia pauciflorula,Endangered
Na`ena`e,Dubautia plantaginea ssp. humilis,Endangered
Na`ena`e,Dubautia plantaginea ssp. magnifolia,Endangered
Na`ena`e,Dubautia waialealae,Endangered
Nani wai`ale`ale,Viola kauaiensis var. wahiawaensis,Endangered
Nanu,Gardenia mannii,Endangered
Nanu,Gardenia remyi,Endangered
Napa bluegrass,Poa napensis,Endangered
Narrow-headed gartersnake,Thamnophis rufipunctatus,Threatened
Narrow pigtoe,Fusconaia escambia,Threatened
Narrow sawfish,Anoxypristis cuspidata,Endangered
Nashville crayfish,Orconectes shoupi,Endangered
Nassau grouper,Epinephelus striatus,Threatened
(=Native yellow hibiscus) ma`o hau hele,Hibiscus brackenridgei,Endangered
Navajo sedge,Carex specuicola,Threatened
Navasota ladies-tresses,Spiranthes parksii,Endangered
Neches River rose-mallow,Hibiscus dasycalyx,Threatened
nehe,Melanthera kamolensis,Endangered
Nehe,Lipochaeta fauriei,Endangered
Nehe,Lipochaeta lobata var. leptophylla,Endangered
Nehe,Lipochaeta micrantha,Endangered
Nehe,Lipochaeta waimeaensis,Endangered
Nehe,Melanthera tenuifolia,Endangered
Nekogigi (catfish),Coreobagrus ichikawai,Endangered
Nellie cory cactus,Coryphantha minima,Endangered
Nelson's checker-mallow,Sidalcea nelsoniana,Threatened
Neosho madtom,Noturus placidus,Threatened
Neosho Mucket,Lampsilis rafinesqueana,Endangered
Nevin's barberry,Berberis nevinii,Endangered
Newcomb's snail,Erinna newcombi,Threatened
Newcomb's Tree snail,Newcombia cumingi,Endangered
Newell's Townsend's shearwater,Puffinus auricularis newelli,Threatened
New Holland mouse,Pseudomys novaehollandiae,Endangered
New Mexican ridge-nosed rattlesnake,Crotalus willardi obscurus,Threatened
New Mexico meadow jumping mouse,Zapus hudsonius luteus,Endangered
New Zealand bushwren,Xenicus longipes,Endangered
New Zealand shore plover,Thinornis novaeseelandiae,Endangered
New Zealand thrush (wattlebird),Turnagra capensis,Endangered
Niangua darter,Etheostoma nianguae,Threatened
Nichol's Turk's head cactus,Echinocactus horizonthalonius var. nicholii,Endangered
Nickerbean Blue Butterfly,Cyclargus ammon,Similarity of Appearance (Threatened)
Nicklin's pearlymussel,Megalonaias nicklineana,Endangered
Night (=Australian) parrot,Geopsittacus occidentalis,Endangered
Nightingale reed warbler (old world warbler),Acrocephalus luscinia,Endangered
Nihoa finch (honeycreeper),Telespyza ultima,Endangered
Nihoa millerbird (old world warbler),Acrocephalus familiaris kingi,Endangered
Nile crocodile,Crocodylus niloticus,Threatened
Nioi,Eugenia koolauensis,Endangered
Nipomo Mesa lupine,Lupinus nipomensis,Endangered
No common name,Abutilon eremitopetalum,Endangered
No common name,Abutilon sandwicense,Endangered
No common name,Achyranthes mutica,Endangered
No common name,Acropora globiceps,Threatened
No common name,Acropora jacquelinae,Threatened
No common name,Acropora lokani,Threatened
No common name,Acropora pharaonis,Threatened
No common name,Acropora retusa,Threatened
No common name,Acropora rudis,Threatened
No common name,Acropora speciosa,Threatened
No common name,Acropora tenella,Threatened
No common name,Adiantum vivesii,Endangered
No common name,Agave eggersiana,Endangered
No common name,Amaranthus brownii,Endangered
No common name,Anacropora spinosa,Threatened
No common name,Aristida chaseae,Endangered
No common name,Asplenium dielfalcatum,Endangered
No common name,Asplenium diellaciniatum,Endangered
No common name,Asplenium dielmannii,Endangered
No common name,Asplenium dielpallidum,Endangered
No common name,Asplenium peruvianum var. insulare,Endangered
No common name,Asplenium unisorum,Endangered
No common name,Auerodendron pauciflorum,Endangered
No common name,Bonamia menziesii,Endangered
No common name,Calyptranthes thomasiana,Endangered
No common name,Cantharellus noumeae,Endangered
No common name,Catesbaea melanocarpa,Endangered
No common name,Chamaecrista glandulosa var. mirabilis,Endangered
No common name,Cordia bellonis,Endangered
No common name,Cranichis ricartii,Endangered
No common name,Cyanea kauaulaensis,Endangered
No common name,Cyperus fauriei,Endangered
No common name,Cyperus neokunthianus,Endangered
No common name,Cyperus pennatiformis,Endangered
No common name,Daphnopsis helleriana,Endangered
No common name,Delissea rhytidosperma,Endangered
No common name,Delissea undulata,Endangered
No common name,Dendrobium guamense,Threatened
No common name,Deparia kaalaana,Endangered
No common name,Diplazium molokaiense,Endangered
No common name,Doryopteris angelica,Endangered
No common name,Doryopteris takeuchii,Endangered
No common name,Elaphoglossum serpens,Endangered
No common name,Eugenia bryanii,Endangered
No common name,Eugenia woodburyana,Endangered
No common name,Euphyllia paradivisa,Threatened
No common name,Festuca hawaiiensis,Endangered
No common name,Festuca molokaiensis,Endangered
No common name,Geocarpon minimum,Threatened
No common name,Gesneria pauciflora,Threatened
No common name,Gonocalyx concolor,Endangered
No common name,Gouania hillebrandii,Endangered
No common name,Gouania meyenii,Endangered
No common name,Gouania vitifolia,Endangered
No common name,Hesperomannia arborescens,Endangered
No common name,Hesperomannia arbuscula,Endangered
No common name,Hesperomannia lydgatei,Endangered
No common name,Huperzia stemmermanniae,Endangered
No common name,Ilex sintenisii,Endangered
No common name,Isopora crateriformis,Threatened
No common name,Kadua degeneri,Endangered
No common name,Kadua haupuensis,Endangered
No common name,Kadua parvula,Endangered
No common name,Kadua st.-johnii,Endangered
No common name,Keysseria (=Lagenifera) erici,Endangered
No common name,Keysseria (=Lagenifera) helenae,Endangered
No common name,Labordia lorenciana,Endangered
No common name,Lepanthes eltoroensis,Endangered
No common name,Lepidium orbiculare,Endangered
No common name,Leptocereus grantianus,Endangered
No common name,Lipochaeta venosa,Endangered
No common name,Lobelia koolauensis,Endangered
No common name,Lobelia monostachya,Endangered
No common name,Lobelia niihauensis,Endangered
No common name,Lobelia oahuensis,Endangered
No common name,Lyonia truncata var. proctorii,Endangered
No common name,Lysimachia filifolia,Endangered
No common name,Lysimachia iniki,Endangered
No common name,Lysimachia lydgatei,Endangered
No common name,Lysimachia maxima,Endangered
No common name,Lysimachia pendens,Endangered
No common name,Lysimachia scopulensis,Endangered
No common name,Lysimachia venosa,Endangered
No common name,Maesa walkeri,Threatened
No common name,Microlepia strigosa var. mauiensis,Endangered
No common name,Mitracarpus maxwelliae,Endangered
No common name,Mitracarpus polycladus,Endangered
No common name,Montipora australiensis,Threatened
No common name,Myrcia paganii,Endangered
No common name,Neraudia angulata,Endangered
No common name,Neraudia ovata,Endangered
No common name,Neraudia sericea,Endangered
No common name,Nervilia jacksoniae,Threatened
No common name,Nesogenes rotensis,Endangered
No common name,Osmoxylon mariannense,Endangered
No common name,Pavona diffluens,Threatened
No common name,Phyllanthus saffordii,Endangered
No common name,Phyllostegia bracteata,Endangered
No common name,Phyllostegia brevidens,Endangered
No common name,Phyllostegia floribunda,Endangered
No common name,Phyllostegia glabra var. lanaiensis,Endangered
No common name,Phyllostegia haliakalae,Endangered
No common name,Phyllostegia helleri,Endangered
No common name,Phyllostegia hirsuta,Endangered
No common name,Phyllostegia hispida,Endangered
No common name,Phyllostegia kaalaensis,Endangered
No common name,Phyllostegia knudsenii,Endangered
No common name,Phyllostegia mannii,Endangered
No common name,Phyllostegia mollis,Endangered
No common name,Phyllostegia parviflora,Endangered
No common name,Phyllostegia pilosa,Endangered
No common name,Phyllostegia renovans,Endangered
No common name,Phyllostegia stachyoides,Endangered
No common name,Phyllostegia velutina,Endangered
No common name,Phyllostegia waimeae,Endangered
No common name,Phyllostegia warshaueri,Endangered
No common name,Phyllostegia wawrana,Endangered
No common name,Platanthera holochila,Endangered
No common name,Platydesma cornuta var. cornuta,Endangered
No common name,Platydesma cornuta var. decurrens,Endangered
No common name,Platydesma remyi,Endangered
No common name,Poa siphonoglossa,Endangered
No common name,Polyscias bisattenuata,Endangered
No common name,Polyscias flynnii,Endangered
No common name,Polyscias lydgatei,Endangered
No common name,Polyscias racemosa,Endangered
No common name,Polystichum calderonense,Endangered
No common name,Porites napopora,Threatened
No common name,Pteris lidgatei,Endangered
No common name,Remya kauaiensis,Endangered
No common name,Remya montgomeryi,Endangered
No common name,Sanicula mariversa,Endangered
No common name,Sanicula purpurea,Endangered
No common name,Sanicula sandwicensis,Endangered
No common name,Santalum involutum,Endangered
No common name,Schiedea attenuata,Endangered
No common name,Schiedea diffusa ssp. macraei,Endangered
No common name,Schiedea diffusa subsp. diffusa,Endangered
No common name,Schiedea haleakalensis,Endangered
No common name,Schiedea helleri,Endangered
No common name,Schiedea hookeri,Endangered
No common name,Schiedea jacobii,Endangered
No common name,Schiedea kaalae,Endangered
No common name,Schiedea kauaiensis,Endangered
No common name,Schiedea laui,Endangered
No common name,Schiedea lydgatei,Endangered
No common name,Schiedea membranacea,Endangered
No common name,Schiedea nuttallii,Endangered
No common name,Schiedea obovata,Endangered
No common name,Schiedea salicaria,Endangered
No common name,Schiedea sarmentosa,Endangered
No common name,Schiedea spergulina var. leiopoda,Endangered
No common name,Schiedea spergulina var. spergulina,Threatened
No common name,Schiedea trinervis,Endangered
No common name,Schiedea verticillata,Endangered
No common name,Schiedea viscosa,Endangered
No common name,Schoepfia arenaria,Threatened
No common name,Seriatopora aculeata,Threatened
No common name,Sicyos lanceoloideus,Endangered
No common name,Siderastrea glynni,Endangered
No common name,Silene alexandri,Endangered
No common name,Silene hawaiiensis,Threatened
No common name,Silene lanceolata,Endangered
No common name,Silene perlmanii,Endangered
No common name,Spermolepis hawaiiensis,Endangered
No common name,Stenogyne angustifolia var. angustifolia,Endangered
No common name,Stenogyne bifida,Endangered
No common name,Stenogyne campanulata,Endangered
No common name,Stenogyne cranwelliae,Endangered
No common name,Stenogyne kaalae ssp. sherffii,Endangered
No common name,Stenogyne kanehoana,Endangered
No common name,Stenogyne kauaulaensis,Endangered
No common name,Stenogyne kealiae,Endangered
No common name,Tabernaemontana rotensis,Threatened
No common name,Tectaria estremerana,Endangered
No common name,Ternstroemia subsessilis,Endangered
No common name,Tetramolopium arenarium,Endangered
No common name,Tetramolopium filiforme,Endangered
No common name,Tetramolopium lepidotum ssp. lepidotum,Endangered
No common name,Tetramolopium remyi,Endangered
No common name,Tetramolopium rockii,Threatened
No common name,Thelypteris inabonensis,Endangered
No common name,Thelypteris verecunda,Endangered
No common name,Thelypteris yaucoensis,Endangered
No common name,Tinospora homosepala,Endangered
No common name,Trematolobelia singularis,Endangered
No common name,Tubastraea floreana,Endangered
No common name,Tuberolabium guamense,Threatened
No common name,Varronia rupicola,Threatened
No common name,Vernonia proctorii,Endangered
No common name,Vigna o-wahuensis,Endangered
No common name,Viola helenae,Endangered
No common name,Viola lanaiensis,Endangered
No common name,Viola oahuensis,Endangered
No common name,Wikstroemia skottsbergiana,Endangered
No common name,Wikstroemia villosa,Endangered
No common name,Xylosma crenatum,Endangered
[no common name] Beetle,Rhadine exilis,Endangered
[no common name] Beetle,Rhadine infernalis,Endangered
Noel's Amphipod,Gammarus desperatus,Endangered
Nohoanu,Geranium arboreum,Endangered
Nohoanu,Geranium hanaense,Endangered
Nohoanu,Geranium hillebrandii,Endangered
Nohoanu,Geranium kauaiense,Endangered
Nohoanu,Geranium multiflorum,Endangered
Noisy scrub-bird,Atrichornis clamosus,Endangered
noonday snail,Mesodon clarki nantahala,Threatened
Nordmann's greenshank,Tringa guttifer,Endangered
Norfolk Island parakeet,Cyanoramphus cookii (=novaezelandiae c.),Endangered
Norfolk Island white-eye,Zosterops albogularis,Endangered
North Andean huemul,Hippocamelus antisensis,Endangered
North Atlantic Right Whale,Eubalaena glacialis,Endangered
North China sika deer,Cervus nippon mandarinus,Endangered
Northeastern beach tiger beetle,Cicindela dorsalis dorsalis,Threatened
Northeastern bulrush,Scirpus ancistrochaetus,Endangered
Northern Aplomado Falcon,Falco femoralis septentrionalis,Endangered
Northern bald ibis,Geronticus eremita,Endangered
Northern Idaho Ground Squirrel,Urocitellus brunneus,Threatened
Northern Long-Eared Bat,Myotis septentrionalis,Threatened
Northern Mexican gartersnake,Thamnophis eques megalops,Threatened
Northern riffleshell,Epioblasma torulosa rangiana,Endangered
Northern Sea Otter,Enhydra lutris kenyoni,Threatened
Northern spotted owl,Strix occidentalis caurina,Threatened
Northern swift fox,Vulpes velox hebes,Endangered
Northern white rhinoceros,Ceratotherium simum cottoni,Endangered
Northern wild monkshood,Aconitum noveboracense,Threatened
North Pacific Right Whale,Eubalaena japonica,Endangered
North Park phacelia,Phacelia formosula,Endangered
Numbat,Myrmecobius fasciatus,Endangered
Oahu creeper,Paroreomyza maculata,Endangered
Oahu elepaio,Chasiempis ibidis,Endangered
Oahu tree snails,Achatinella spp.,Endangered
Oceanic Hawaiian damselfly,Megalagrion oceanicum,Endangered
Ocelot,Leopardus (=Felis) pardalis,Endangered
Ochlockonee moccasinshell,Medionidus simpsonianus,Endangered
Oha,Delissea subcordata,Endangered
Ohai,Sesbania tomentosa,Endangered
`Oha wai,Clermontia drepanomorpha,Endangered
`Oha wai,Clermontia lindseyana,Endangered
`Oha wai,Clermontia oblongifolia ssp. brevipes,Endangered
`Oha wai,Clermontia oblongifolia ssp. mauiensis,Endangered
`Oha wai,Clermontia peleana,Endangered
`Oha wai,Clermontia pyrularia,Endangered
`Oha wai,Clermontia samuelii,Endangered
`Ohe,Joinvillea ascendens ascendens,Endangered
`Ohe`ohe,Polyscias gymnocarpa,Endangered
Ohlone tiger beetle,Cicindela ohlone,Endangered
Okaloosa darter,Etheostoma okaloosae,Threatened
Okeechobee gourd,Cucurbita okeechobeensis ssp. okeechobeensis,Endangered
Olive ridley sea turtle,Lepidochelys olivacea,Threatened
